name,category,price,description,image_url,in_stock
HP Omnibook Series,laptops,CALL,"HP's top-tier AI companion. High performance with neural processing units (NPU), elite magnesium casing, and high-efficiency battery for seamless hybrid work.",,true
HP Envy Series,laptops,CALL,"Designed for content creators and power users. Striking color accuracy, touch screen capability, and fast charging options in a sleek form factor.",,true
HP Foldable / x360,laptops,CALL,Ultimate versatility. Effortlessly transitions from workstation laptop to presentation stand and drawing tablet. Includes optional premium stylus.,,true
HP ProBook 440 G11,laptops,"₦1,150,000","Enterprise-grade safety, durable aluminum deck, ultra-fast DDR5 multitasking, and convenient secure fingerprint bio-reader.",,true
HP ProBook 440 G11 Ultra 7,laptops,"₦1,340,000","Elite processing speeds for professionals. Handles heavy databases, advanced programming suites, and spreadsheets with ease.",,true
HP Pavilion 14 X360,laptops,"₦1,100,000","Interactive display on a budget. Includes a fast NVMe SSD, pristine sound by Bang & Olufsen, and full 360-degree rotation.",,true
HP Pavilion 13,laptops,"₦650,000","Compact everyday helper. Extremely lightweight with elegant silver finishing, long battery span, and crystal clear micro-edge screen.",,true
HP 240 G9,laptops,"₦560,000","Reliable business laptop. Excellent keyboard, solid connectivity ports, and speedy everyday performance for standard office programs.",,true
HP 240 G8 Core i5,laptops,"₦390,000","Basic utility laptop. Suitable for students, record keeping, point-of-sale, and typing. Very robust and highly repairable.",,true
HP 14 Core i3,laptops,"₦720,000","Optimized modern i3 processor. Excellent balance between power efficiency and multitasking, paired with spacious high-speed storage.",,true
HP 14 Core i5,laptops,"₦650,000","High capacity storage with powerful core i5 computing. Beautiful UHD screen, perfect for editing documents and standard spreadsheets.",,true
HP 15 Pentium,laptops,"₦400,000","Sizable 15.6-inch screen with complete numeric keypad. Designed for general school tasks, inventory logging, and home entertainment.",,true
HP 15 Core i5,laptops,"₦685,000","Highly popular workstation model. Enhanced 12GB of RAM prevents lags during intensive multitasking, paired with massive 1TB space.",,true
HP 250 Core i7,laptops,"₦750,000","Heavy-duty processing computing power for numerical analysts, project developers, and advanced creators.",,true
HP 250 G9 Celeron,laptops,"₦400,000","Economical daily driver. Boots fast thanks to SSD integration. Large screen is perfect for reading, video streaming, and office typing.",,true
HP Neverstop 1000W,printers,"₦200,000",Superb economical monochrome laser printing. Features an innovative reloadable toner tank system with exceptionally low cost per page.,,true
HP Neverstop 1200A,printers,"₦280,000","Perfect high-volume monochrome printer, scanner and copier. Refill your toner in 15 seconds without any messy spills.",,true
HP DeskJet IA 2320,printers,"₦80,000","Compact home printer. Fits on any shelf, provides sharp color documents and scanning for school assignments or small business bills.",,true
HP Laser MFP 107w,printers,"₦250,000","Pristine black & white printing. Extremely small footprint, supports wireless printing from mobile phones and tablets seamlessly.",,true
HP Smart Tank 581 AiO,printers,"₦260,000",Incredible cost savings for color printing. Comes with high-capacity ink tanks holding thousands of pages worth of ink right in the box.,,true
HP Smart Tank 615 Wireless,printers,"₦398,000",All-in-one printer with automatic document feeder (ADF) for quick copying. Low-cost ink tanks make it ideal for schools and clinics.,,true
HP Smart Tank 750 AiO,printers,"₦498,000",Fast duplex color printing. Speeds up office workflows with automatic two-sided sheets and massive ink reservoirs.,,true
HP Color LaserJet M282nw,printers,"₦640,000","Professional quality color laser output. High processing speed, amazing graphics quality, and reliable wireless workgroup networking.",,true
HP Color LaserJet M479fdw,printers,"₦950,000","Ultimate business color workstation. High security protocols, automatic double-sided scanning and copying, fax support, and fast print speeds.",,true
Sharp AR-7024 A3 Copier,printers,"₦1,150,000","Heavy-duty commercial copier for major operations. Supports massive paper trays, A3 layout sheets, and high-speed monochrome bulk runs.",,true
HP Slimline 290 Core i5,desktops,"₦195,000","Compact desktop powerhouse. Sleek design fits any workspace, ideal for offices, schools, and business accounting.",,true
HP EliteDesk 800 Core i7,desktops,"₦385,000","Premium enterprise security and performance. Ready for advanced productivity, high-speed multi-monitor configurations, and high reliability.",,true
HP All-in-One 24,desktops,"₦350,000","Space-saving elegant display computer. The tower and display are unified into one gorgeous screen, perfect for modern front desks.",,true
